Leicester City, 0-3, Manchester United, 2017, 2, http://www.bbc.com/sport/football/38786544
Arsenal, 2-0, Hull City, 2017, 2, http://www.bbc.com/sport/football/38865319
Manchester United, 2-0, Watford, 2017, 2, http://www.bbc.com/sport/football/38865235
Middlesbrough, 0-0, Everton, 2017, 2, http://www.bbc.com/sport/football/38865239
Stoke City, 1-0, Crystal Palace, 2017, 2, http://www.bbc.com/sport/football/38865291
Sunderland, 0-4, Southampton, 2017, 2, http://www.bbc.com/sport/football/38865159
West Ham United, 2-2, West Bromwich Albion, 2017, 2, http://www.bbc.com/sport/football/38865237
Liverpool, 2-0, Tottenham Hotspur, 2017, 2, http://www.bbc.com/sport/football/38865320
Burnley, 1-1, Chelsea, 2017, 2, http://www.bbc.com/sport/football/38871559
Swansea City, 2-0, Leicester City, 2017, 2, http://www.bbc.com/sport/football/38871532
AFC Bournemouth, 0-2, Manchester City, 2017, 2, http://www.bbc.com/sport/football/38876924
Chelsea, 3-1, Swansea City, 2017, 2, http://www.bbc.com/sport/football/39012181
Crystal Palace, 1-0, Middlesbrough, 2017, 2, http://www.bbc.com/sport/football/39012179
Everton, 2-0, Sunderland, 2017, 2, http://www.bbc.com/sport/football/39012183
Hull City, 1-1, Burnley, 2017, 2, http://www.bbc.com/sport/football/39012177
West Bromwich Albion, 2-1, AFC Bournemouth, 2017, 2, http://www.bbc.com/sport/football/39012226
Watford, 1-1, West Ham United, 2017, 2, http://www.bbc.com/sport/football/39012233
Tottenham Hotspur, 4-0, Stoke City, 2017, 2, http://www.bbc.com/sport/football/39018820
Leicester City, 3-1, Liverpool, 2017, 2, http://www.bbc.com/sport/football/39024318
Manchester United, 1-1, AFC Bournemouth, 2017, 3, http://www.bbc.com/sport/football/39086674
Leicester City, 3-1, Hull City, 2017, 3, http://www.bbc.com/sport/football/39086672
Stoke City, 2-0, Middlesbrough, 2017, 3, http://www.bbc.com/sport/football/39086670
Swansea City, 3-2, Burnley, 2017, 3, http://www.bbc.com/sport/football/39086673
Watford, 3-4, Southampton, 2017, 3, http://www.bbc.com/sport/football/39086731
West Bromwich Albion, 0-2, Crystal Palace, 2017, 3, http://www.bbc.com/sport/football/39086671
Liverpool, 3-1, Arsenal, 2017, 3, http://www.bbc.com/sport/football/39086717
Tottenham Hotspur, 3-2, Everton, 2017, 3, http://www.bbc.com/sport/football/39093822
Sunderland, 0-2, Manchester City, 2017, 3, http://www.bbc.com/sport/football/39093809
West Ham United, 1-2, Chelsea, 2017, 3, http://www.bbc.com/sport/football/39099634
Manchester City, 0-0, Stoke City, 2017, 3, http://www.bbc.com/sport/football/39136972
AFC Bournemouth, 3-2, West Ham United, 2017, 3, http://www.bbc.com/sport/football/39163776
Everton, 3-0, West Bromwich Albion, 2017, 3, http://www.bbc.com/sport/football/39163818
Hull City, 2-1, Swansea City, 2017, 3, http://www.bbc.com/sport/football/39163820
Liverpool, 2-1, Burnley, 2017, 3, http://www.bbc.com/sport/football/39170671
West Bromwich Albion, 3-1, Arsenal, 2017, 3, http://www.bbc.com/sport/football/39240147
Crystal Palace, 1-0, Watford, 2017, 3, http://www.bbc.com/sport/football/39240281
Everton, 4-0, Hull City, 2017, 3, http://www.bbc.com/sport/football/39240119
Stoke City, 1-2, Chelsea, 2017, 3, http://www.bbc.com/sport/football/39240187
Sunderland, 0-0, Burnley, 2017, 3, http://www.bbc.com/sport/football/39240146
West Ham United, 2-3, Leicester City, 2017, 3, http://www.bbc.com/sport/football/39240120
AFC Bournemouth, 2-0, Swansea City, 2017, 3, http://www.bbc.com/sport/football/39240145
Middlesbrough, 1-3, Manchester United, 2017, 3, http://www.bbc.com/sport/football/39246750
Tottenham Hotspur, 2-1, Southampton, 2017, 3, http://www.bbc.com/sport/football/39246612
Manchester City, 1-1, Liverpool, 2017, 3, http://www.bbc.com/sport/football/39246699
Liverpool, 3-1, Everton, 2017, 4, http://www.bbc.com/sport/football/39390276
